Date,Open,High,Low,Close,Adj Close,Volume
5-Oct-16,84.01,86.73,84.01,85.98,85.98,"440,800"
4-Oct-16,87.49,87.68,83.26,84.21,84.21,"1,504,800"
3-Oct-16,87.82,89.21,86.53,87,87,"486,600"
30-Sep-16,87.33,88.71,86.35,87.93,87.93,"587,000"
29-Sep-16,85.51,88.58,85.04,87.31,87.31,"679,600"
28-Sep-16,86.33,86.74,85.06,85.86,85.86,"245,800"
27-Sep-16,86.45,87.22,84.33,86.14,86.14,"624,800"
26-Sep-16,90.05,90.75,85.92,86.15,86.15,"1,329,800"
23-Sep-16,86.97,90.67,86.33,90.5,90.5,"979,000"
22-Sep-16,90,90.25,87.06,87.83,87.83,"528,400"
21-Sep-16,90.1,90.1,87.32,88.96,88.96,"562,700"
20-Sep-16,89.95,89.99,85.96,89.02,89.02,"836,300"
19-Sep-16,90,90.34,88.09,88.19,88.19,"531,300"
16-Sep-16,88.81,89.49,88.22,88.8,88.8,"407,800"
15-Sep-16,88.87,89.73,87.74,89.2,89.2,"576,200"
14-Sep-16,87.01,89.06,87.01,87.68,87.68,"658,400"
13-Sep-16,89,89.76,85.35,87.16,87.16,"1,299,300"
12-Sep-16,82.61,89.25,82.42,88.95,88.95,"1,250,400"
9-Sep-16,84.47,84.92,81.99,83.44,83.44,"1,029,000"
8-Sep-16,80.89,85.97,80.53,85.7,85.7,"921,200"
7-Sep-16,77.68,79.52,77.68,79.51,79.51,"355,600"
6-Sep-16,77.78,77.84,77.03,77.58,77.58,"342,300"
2-Sep-16,77.12,78.19,77.04,77.42,77.42,"302,900"
1-Sep-16,76.69,77.17,75.81,76.79,76.79,"262,300"
31-Aug-16,77.88,77.95,75.74,76.43,76.43,"516,800"
30-Aug-16,78.6,78.73,77.37,77.95,77.95,"394,200"
29-Aug-16,78.15,79.21,78.15,78.74,78.74,"381,300"
29-Aug-16,0.51 Dividend,,,,,
26-Aug-16,81.2,81.86,78.71,79.51,79.51,"601,500"
25-Aug-16,81.27,81.97,80.49,80.99,80.99,"365,400"
24-Aug-16,81.78,82.11,80.02,81.78,81.78,"355,100"
23-Aug-16,82.88,82.9,81.76,82.09,82.09,"397,700"
22-Aug-16,81.42,83.25,81.03,82.27,82.27,"330,100"
19-Aug-16,83.19,83.74,82.05,82.55,82.55,"618,900"
18-Aug-16,84.09,85.3,83.31,84.25,84.25,"526,400"
17-Aug-16,82.58,84.48,81.25,83.74,83.74,"964,700"
16-Aug-16,83.5,85.17,82.63,83.45,83.45,"685,800"
15-Aug-16,82.08,83.46,81.5,82.75,82.75,"434,700"
12-Aug-16,80.05,82.47,79.51,82.08,82.08,"598,400"
11-Aug-16,78.99,80.45,77.87,80.01,80.01,"660,700"
10-Aug-16,78.77,79.42,77.99,78.72,78.72,"398,300"
9-Aug-16,76.5,78.64,76.5,78.57,78.57,"453,200"
8-Aug-16,74.89,77.97,74.84,76.47,76.47,"741,600"
5-Aug-16,76.11,76.93,72.5,74.97,74.97,"779,800"
4-Aug-16,69.19,76.86,69.19,76.48,76.48,"1,612,900"
3-Aug-16,63.27,66.13,62.68,65.66,65.66,"523,200"
2-Aug-16,67.83,67.87,64.51,64.76,64.76,"321,600"
1-Aug-16,66.73,67.62,65.84,67.62,67.62,"564,600"
29-Jul-16,67.41,68.23,65.67,67,67,"439,000"
28-Jul-16,67.65,67.97,67.26,67.29,67.29,"187,000"
27-Jul-16,67.35,68.07,66.97,67.68,67.68,"403,600"
26-Jul-16,67.06,67.42,66.33,66.87,66.87,"378,400"
25-Jul-16,67.27,67.55,66.33,66.9,66.9,"260,800"
22-Jul-16,66.49,67.46,66.41,67.2,67.2,"198,600"
21-Jul-16,66.41,67.62,65.72,66.1,66.1,"446,200"
20-Jul-16,67.21,68.58,65.8,67.06,67.06,"540,200"
19-Jul-16,67.06,67.27,65.99,66.52,66.52,"588,400"
18-Jul-16,65,66.29,64.37,65.91,65.91,"406,700"
15-Jul-16,65.03,65.93,63.95,65.26,65.26,"453,500"
14-Jul-16,65.41,66.6,64.17,65.26,65.26,"857,000"
13-Jul-16,62.99,64.81,62.69,64.29,64.29,"504,700"
12-Jul-16,60.16,63.67,60,62.78,62.78,"1,231,600"
11-Jul-16,57.9,59.67,57.4,58.16,58.16,"648,700"
8-Jul-16,55.51,55.93,55.13,55.25,55.25,"322,200"
7-Jul-16,54.3,55.79,54.19,54.94,54.94,"482,500"
6-Jul-16,52.73,56.14,51.3,54.31,54.31,"1,052,400"
5-Jul-16,53.73,53.8,50.36,53.44,53.44,"654,300"
1-Jul-16,52.36,54.58,51.86,54.45,54.45,"1,014,500"
30-Jun-16,52.05,52.49,50.91,52.26,52.26,"533,400"
29-Jun-16,51.09,52.25,50.71,51.74,51.74,"948,100"
28-Jun-16,49.99,52.04,49.69,50.42,50.42,"856,100"
27-Jun-16,52.47,52.58,48.57,49.43,49.43,"694,000"
24-Jun-16,52.38,53.39,51.34,53.11,53.11,"589,200"
23-Jun-16,54.96,55.45,54.58,54.95,54.95,"194,300"
22-Jun-16,54.3,54.69,53.37,54.36,54.36,"261,500"
21-Jun-16,53.05,54.38,52.38,54.17,54.17,"334,900"
20-Jun-16,52.79,52.99,51.95,52.75,52.75,"302,100"
17-Jun-16,51.75,53.07,51.63,52.09,52.09,"282,300"
16-Jun-16,50.86,52.13,50.86,51.82,51.82,"276,700"
15-Jun-16,51.44,53.27,50.85,51.79,51.79,"346,200"
14-Jun-16,51.47,52.22,50.75,51.1,51.1,"421,200"
13-Jun-16,51.39,52.35,50.51,52.12,52.12,"319,700"
10-Jun-16,53.7,54.23,51.77,52.12,52.12,"509,700"
9-Jun-16,53.16,54.99,53.04,54.68,54.68,"380,100"
8-Jun-16,53.17,54.56,53.07,53.76,53.76,"296,000"
7-Jun-16,52.81,54.68,52.3,53.36,53.36,"331,400"
6-Jun-16,52.15,53.05,51.76,52.95,52.95,"279,000"
3-Jun-16,52.01,53.14,51.84,52.01,52.01,"430,700"
2-Jun-16,50.68,52.71,50.56,51.83,51.83,"353,800"
1-Jun-16,51.57,52.11,50,50.97,50.97,"829,700"
31-May-16,51.27,52.68,51.27,51.57,51.57,"415,500"
27-May-16,51.85,51.85,50.88,51.54,51.54,"568,000"
26-May-16,52.96,54.25,50.86,51.13,51.13,"559,800"
26-May-16,0.51 Dividend,,,,,
25-May-16,54.43,54.99,53.95,53.99,53.99,"259,300"
24-May-16,54.15,54.81,53.86,54.03,54.03,"225,100"
23-May-16,54.41,55.59,53.71,54.3,54.3,"410,700"
20-May-16,54.14,55.51,53.68,54.93,54.93,"408,400"
19-May-16,53.18,54.33,52.8,53.66,53.66,"378,000"
18-May-16,53.78,55.02,52.97,53.55,53.55,"364,800"
17-May-16,53.69,54.83,53.14,53.8,53.8,"623,800"
16-May-16,52.83,54.35,52.27,53.94,53.94,"461,200"
13-May-16,53.78,54.24,51.59,52.99,52.99,"521,700"
12-May-16,54.3,55.42,53.77,53.86,53.86,"569,000"
11-May-16,54.38,56.99,54,54.3,54.3,"708,500"
10-May-16,52.79,55.09,52.56,54.65,54.65,"599,100"
9-May-16,52,53.1,50.8,52.48,52.48,"1,627,900"
6-May-16,57.71,57.71,50.38,53.56,53.56,"3,767,500"
5-May-16,63.57,64.18,62.14,62.39,62.39,"561,400"
4-May-16,63.55,64.95,63.26,63.44,63.44,"522,800"
3-May-16,63.21,65.92,62.07,64.1,64.1,"709,400"
2-May-16,64.15,64.65,62.63,63.3,63.3,"509,400"
29-Apr-16,64.97,65.82,63.44,63.75,63.75,"329,300"
28-Apr-16,67.02,67.86,64.78,65.03,65.03,"399,700"
27-Apr-16,66.92,67.83,66.01,67.62,67.62,"270,100"
26-Apr-16,65.56,67.12,65.25,67.11,67.11,"432,500"
25-Apr-16,65.21,66.41,65.14,65.42,65.42,"450,500"
22-Apr-16,64.92,67.15,64.66,65.46,65.46,"643,400"
21-Apr-16,66.31,67.67,65.81,66.18,66.18,"838,700"
20-Apr-16,69.05,70.88,67.22,67.3,67.3,"923,800"
19-Apr-16,66.77,70.74,66.25,68.88,68.88,"787,000"
18-Apr-16,66.16,66.97,65,66.29,66.29,"308,400"
15-Apr-16,65.25,66.39,64.37,66.07,66.07,"421,200"
14-Apr-16,66.51,66.99,65.05,65.24,65.24,"202,500"
13-Apr-16,65.24,66.68,64.61,66.2,66.2,"486,400"
12-Apr-16,63.1,64.37,61.4,63.54,63.54,"639,000"
11-Apr-16,64.4,65,62.9,62.93,62.93,"413,800"
8-Apr-16,63.99,65.99,63.48,63.57,63.57,"551,600"
7-Apr-16,65.52,66.62,62.34,63.47,63.47,"602,700"
6-Apr-16,65.76,66.34,64.47,65.5,65.5,"388,700"
5-Apr-16,66.16,67,65.5,66.08,66.08,"369,000"
4-Apr-16,67,67.94,66.57,66.6,66.6,"374,800"
1-Apr-16,66.4,67.86,65.57,66.77,66.77,"279,100"
31-Mar-16,67.49,68.5,67.05,67.75,67.75,"399,100"
30-Mar-16,67.48,68.75,66.38,66.89,66.89,"542,300"
29-Mar-16,66.1,67.25,64.95,66.84,66.84,"344,400"
28-Mar-16,66.32,66.81,65.27,66.44,66.44,"309,700"
24-Mar-16,67.02,67.02,65.37,65.88,65.88,"381,400"
23-Mar-16,68.9,69.06,67.19,67.62,67.62,"362,800"
22-Mar-16,68.11,69.74,66.59,68.9,68.9,"449,200"
21-Mar-16,69.7,70.22,69.05,69.88,69.88,"296,800"
18-Mar-16,70.96,71.95,69.77,69.91,69.91,"413,400"
17-Mar-16,66.51,72,66.09,70.45,70.45,"1,219,100"
16-Mar-16,61.38,66.64,61.38,66.43,66.43,"679,200"
15-Mar-16,64.14,64.18,61.39,61.6,61.6,"507,300"
14-Mar-16,65.27,65.61,63.17,64.91,64.91,"386,300"
11-Mar-16,66.15,66.83,65.29,65.98,65.98,"374,700"
10-Mar-16,64.56,66.53,64.18,66.08,66.08,"660,500"
9-Mar-16,64.62,65.27,63,64.11,64.11,"467,200"
8-Mar-16,65,65.94,62.79,64.29,64.29,"566,500"
7-Mar-16,66,66.25,64.18,65.83,65.83,"730,400"
4-Mar-16,66.22,68.23,65.9,66.94,66.94,"873,400"
3-Mar-16,65.29,66.37,64.71,65.8,65.8,"927,500"
2-Mar-16,61.8,65.92,61.45,65,65,"833,300"
1-Mar-16,60.46,62,60.2,61.7,61.7,"506,700"
1-Mar-16,0.51 Dividend,,,,,
29-Feb-16,59.61,61.44,59.04,61.06,61.06,"539,500"
26-Feb-16,60.07,60.55,59.13,59.71,59.71,"595,500"
25-Feb-16,57.62,60.18,57.62,59.94,59.94,"492,000"
24-Feb-16,59.5,60.4,58.74,60.14,60.14,"674,200"
23-Feb-16,58.79,60.95,58.01,59.98,59.98,"640,300"
22-Feb-16,59.33,60.52,58.4,59.04,59.04,"557,800"
